with DumbSwitch
resulting order: (42 messages 0 dropped)
        0 (000-57)
        2 (001-55)
        2 (002-49)
        0 (003-66)
        2 (004-12)
        0 (005-94)
        0 (006-68)
        2 (007-68)
        1 (008-85)
        2 (009-11)
        0 (010-43)
        2 (011-44)
        0 (012-94)
        0 (013-68)
        2 (014-98)
        0 (015-82)
        2 (016-51)
        2 (017-16)
        1 (018-83)
        0 (019-69)
        0 (020-28)
        2 (021-30)
        0 (022-61)
        0 (023-43)
        1 (024-81)
        1 (025-21)
        1 (026-14)
        1 (027-33)
        2 (028-22)
        0 (029-64)
        0 (030-58)
        0 (031-75)
        0 (032-48)
        0 (033-43)
        0 (034-54)
        2 (035-42)
        0 (036-90)
        2 (037-20)
        0 (038-64)
        2 (039-88)
        2 (040-48)
        0 (041-92)
